,doc_id,doc_x,doc_y,genre
9789048727506,9789048727506,14.725858,6.6709094,unknown
9789044634402,9789044634402,11.657109,7.0866513,unknown
9789461992659,9789461992659,8.155029,15.671468,romance
9789461996381,9789461996381,6.7460585,14.284317,romance
9789460411311,9789460411311,12.897045,5.920429,Young adult fiction
9789460413155,9789460413155,7.134317,6.094211,suspense general
9789025867027,9789025867027,14.632978,5.4565363,Young adult fiction
9789461704634,9789461704634,4.161936,12.555405,romance
9789461704764,9789461704764,7.5273433,14.665088,romance
9789402754926,9789402754926,8.75059,12.969614,romance
9789402510140,9789402510140,8.449076,15.499577,romance
9789402512304,9789402512304,8.827763,13.5321865,romance
9789461999757,9789461999757,10.363158,12.805394,suspense pocket
9789402502831,9789402502831,8.726066,12.733023,romance
9789402750270,9789402750270,-2.4513388,8.125361,Young adult fiction
9789044971712,9789044971712,12.354254,5.7766204,literary thriller
9789044973556,9789044973556,11.037605,9.609522,thriller
9789402516852,9789402516852,7.4142923,13.936027,romance
9789461992987,9789461992987,12.07629,9.1782875,fantasy
9789044622775,9789044622775,9.217256,6.297648,"translated literary novel, novella"
9789402531558,9789402531558,7.3262115,15.153097,romance
9789025367572,9789025367572,13.947456,5.0347285,"translated literary novel, novella"
9789402521627,9789402521627,7.153402,14.533544,romance
9789461990389,9789461990389,8.043014,14.682444,romance
9789402537550,9789402537550,5.8471236,14.364556,romance
9789029568814,9789029568814,9.095476,5.478422,"translated literary novel, novella"
9789401610957,9789401610957,9.4044695,6.835109,"translated literary novel, novella"
9789401600262,9789401600262,7.35167,10.772243,"translated literary novel, novella"
9789402756401,9789402756401,8.814077,13.664396,unknown
9789401606387,9789401606387,10.657492,7.9085674,unknown
9789402500516,9789402500516,7.047883,11.101902,historical novel (popular)
9789029591829,9789029591829,12.145741,3.500782,"Dutch literary novel, novella"
9789044975277,9789044975277,10.665794,9.777788,thriller
9789044640595,9789044640595,8.924212,6.33212,"translated literary novel, novella"
9789044636925,9789044636925,11.382585,5.9689283,unknown
